x,latitude,longitude,name
,1.374025014,103.842887,Ang Mo Kio Town Garden West
,1.341395989,103.780895,Mayfair Park
,1.31455099,103.892397,Guillemard Road Open Space
,1.356556988,103.834035,Thomson Park Estate Interim Park
,1.321207995,103.923838,Bangsawan Park
,1.32311502,103.957616,Eastwood Park Playground
,1.331702984,103.808987,Watten Heights Playground
,1.313763009,103.784206,Grove Lane Playground
,1.311502006,103.898952,Carpmael Road Open Space
,1.301587003,103.837611,Orchard Fountain Corner
,1.31173,103.795544,Holland Village Park
,1.287320006,103.853473,Waterboat House Garden
,1.308422003,103.854849,Rowell Road Open Space
,1.288489996,103.860639,Youth Olympic Park
,1.335506016,103.805487,Greenwood Crescent Playground
,1.272364992,103.802693,Berlayer Creek
,1.283845008,103.829977,Kim Pong Park
,1.322312979,103.842813,Novena Park
,1.336324018,103.764869,Golden Rise Playground
,1.309758997,103.854776,Lembu Road Open Space
,1.343862985,103.77304,Hoover Park
,1.300174003,103.897322,Tanjong Katong Road South Playground
,1.314115017,103.780246,Jalan Kebaya Playground
,1.328344008,103.810509,Shelford Road Playground
,1.322987012,103.827058,Malcolm Park
,1.292257993,103.845691,The Foothills Fort Canning Park
,1.333798002,103.881706,MacPherson Linear Park
,1.290759993,103.831798,Ganges Avenue Open Space
,1.331874009,103.875616,Chempaka Avenue Playground
,1.321771988,103.887659,Geylang East Park
,1.291778004,103.846609,Fort Canning Park
,1.38340099,104.001675,Changi Beach Park
,1.329746017,103.950168,Jalan Chempaka Kuning Playground
,1.385943002,103.858758,Saraca Road Playground
,1.383104999,103.86146,Mimosa Walk Playground
,1.347404006,103.963506,Mera Terrace Playground
,1.337183986,103.956225,Jalan Angin Laut Playground
,1.39030102,103.855252,Sunrise Drive Playground 2
,1.38829201,103.837572,Lentor Road Playground
,1.378684022,103.952173,Pasir Ris Park
,1.363039002,103.965637,Loyang View Playground
,1.308482998,103.919384,Jalan Buloh Perindu Playground
,1.329029004,103.946876,Tanah Merah Playground
,1.379492003,103.875186,Luxus Hills Park
,1.38725001,103.838826,Banyan Villas Playground
,1.325003012,103.914402,Taman Kembangan Playground
,1.324727987,103.949048,Jalan Limau Manis Playground
,1.360928988,103.882129,Richards Avenue Park
,1.399035028,103.873848,Lorong Tanggam Park
,1.326716006,103.807658,Bougainvillea Park
,1.32686098,103.782814,Holland Green Playground
,1.304108993,103.862146,North Bridge Garden
,1.299264003,103.843839,Istana Park
,1.330579994,103.847968,Toa Payoh Town Park
,1.292839996,103.834957,Kim Seng Park
,1.315709015,103.781222,Mount Sinai Plain Playground
,1.35429099,103.834364,Thomson Park
,1.312950986,103.78123,Holland Grove View Playground
,1.298343008,103.845882,Dhoby Ghaut Green
,1.304497996,103.847462,Mount Emily Park
